iter	Passed	Remaining
823	12903	26244
824	12919	26230
825	12937	26219
826	12954	26205
827	12971	26194
828	12989	26182
829	13006	26169
830	13020	26150
831	13035	26132
832	13049	26114
833	13064	26097
834	13080	26081
835	13095	26066
836	13110	26049
837	13125	26031
838	13140	26014
839	13155	25997
840	13170	25980
841	13183	25959
842	13197	25940
843	13212	25923
844	13227	25906
845	13240	25886
846	13267	25892
847	13282	25874
848	13297	25858
849	13311	25839
850	13324	25818
851	13338	25799
852	13352	25781
853	13366	25762
854	13383	25749
855	13400	25735
856	13415	25720
857	13432	25705
858	13447	25689
859	13462	25673
860	13477	25655
861	13493	25641
862	13511	25628
863	13528	25615
864	13543	25599
865	13557	25581
866	13572	25564
867	13593	25559
868	13624	25571
869	13641	25559
870	13661	25550
871	13678	25537
872	13695	25523
873	13714	25514
874	13731	25501
875	13747	25486
876	13763	25472
877	13779	25456
878	13795	25440
879	13811	25425
880	13825	25407
881	13839	25388
882	13853	25369
883	13869	25354
884	13884	25337
885	13899	25320
886	13914	25304
887	13931	25290
888	13948	25277
889	13966	25264
890	13982	25249
891	13997	25232
892	14014	25219
893	14029	25202
894	14043	25184
895	14057	25166
896	14073	25150
897	14088	25133
898	14103	25117
899	14118	25099
900	14133	25082
901	14149	25067
902	14164	25050
903	14179	25034
904	14195	25018
905	14210	25002
906	14231	24995
907	14246	24978
908	14263	24965
909	14278	24947
910	14294	24933
911	14310	24918
912	14327	24903
913	14342	24887
914	14358	24873
915	14374	24857
916	14390	24842
917	14406	24827
918	14423	24814
919	14440	24800
920	14460	24791
921	14479	24782
922	14496	24768
923	14513	24753
924	14535	24750
925	14554	24739
926	14571	24726
927	14589	24714
928	14616	24718
929	14634	24705
930	14650	24690
931	14666	24675
932	14681	24658
933	14697	24642
934	14711	24624
935	14726	24607
936	14740	24588
937	14755	24571
938	14769	24552
939	14783	24534
940	14798	24517
941	14813	24500
942	14828	24482
943	14843	24466
944	14859	24450
945	14875	24436
946	14890	24419
947	14906	24404
948	14922	24388
949	14938	24372
950	14954	24358
951	14970	24343
952	14986	24327
953	15003	24313
954	15020	24300
955	15037	24286
956	15055	24275
957	15072	24260
958	15089	24247
959	15106	24234
