PPD_0,PPD_1,PPD_2,PPD_3,PPD_4,RRD_0,RRD_1,RRD_2,RRD_3,RRD_4,RPD_0,RPD_1,RPD_2,RPD_3,RPD_4,PRD_0,PRD_1,PRD_2,PRD_3,PRD_4,Hold_Time_0,Hold_Time_1,Hold_Time_2,Hold_Time_3,Hold_Time_4,PPD_Sum,RRD_Sum,RPD_Sum,PRD_Sum,Typing_Speed_Avg,Typing_Speed_Max,Typing_Speed_Min,HT_Sum,Hold_Time_Avg,Hold_Time_Std,Key_Type_1,Key_Type_2,Key_Type_3,Key_Type_4,Key_Type_5,Key_Section_1,Key_Section_2,Key_Section_3,Key_Section_4,Key_Section_5,label
0.154827,0.245578,0.57143,0.176338,0.242184,0.185137,0.214727,0.571516,0.162878,0.218413,0,0.09127,0.447973,0.052795,0.132101,0,0.369035,0.694973,0.286421,0.328496,0.154308,0.123457,0.123543,0.110083,0.086312,1.390357,1.352671,0.724139,1.678925,0.27807139999999997,0.57143,0.154827,0.5977030000000001,0.11954060000000002,0.02206225533892671,5,5.0,4.0,4.0,4.0,6,2.0,6.0,1.0,2.0,1
0.145587,0.184732,27.218285,0.802537,1.059203,0.161666,0.162944,27.252317,0.864539,0.999392,0,0.082341,27.137682,0.687902,0.882566,0,0.265335,27.33292,0.979174,1.176029,0.102391,0.080603,0.114635,0.176637,0.116826,29.410344000000002,29.440858000000002,28.790491000000003,29.753458000000002,5.882068800000001,27.218285,0.145587,0.591092,0.11821839999999999,0.03191531690959687,4,0.0,0.0,7.0,6.0,2,7.0,9.0,8.0,5.0,1
0.445648,0.164347,0.248072,0.28735,0.197159,0.428893,0.230449,0.220123,0.290532,0.157947,0,0.064276,0.081899,0.149126,0.055753,0,0.33052,0.386296,0.428756,0.299353,0.100071,0.166173,0.138224,0.141406,0.102194,1.342576,1.327944,0.351054,1.444925,0.2685152,0.445648,0.164347,0.648068,0.1296136,0.02519678191039483,4,4.0,4.0,4.0,4.0,2,5.0,4.0,4.0,3.0,1
1.909913,0.616796,0.797927,2.74063,1.615609,2.1618370000000002,0.393674,0.833054,2.720881,1.6248010000000002,0,0.262678,0.666931,2.574507,1.469235,0,0.747792,0.96405,2.887004,1.771175,0.354118,0.130996,0.166123,0.146374,0.155566,7.680875,7.734247,4.973351,6.370021,1.5361749999999998,2.74063,0.616796,0.9531769999999999,0.19063539999999998,0.0825508457076001,7,7.0,7.0,7.0,7.0,1,1.0,8.0,8.0,8.0,1
0.353808,9.774899,1.3765450000000001,0.723203,0.828902,0.3269,9.816172,1.362279,0.703151,2.113822,0,9.646241,1.206614,0.567538,0.693289,0,9.94483,1.53221,0.858816,2.249435,0.128658,0.169931,0.155665,0.135613,1.420533,13.057357,14.322324,12.113682,14.585291,2.6114714,9.774899,0.353808,2.0104,0.40208000000000005,0.5094358204539606,0,7.0,7.0,0.0,7.0,7,8.0,8.0,7.0,8.0,1
1.883853,0.26679,0.248266,0.759113,0.345718,0.491884,0.378783,0.204631,0.815656,0.345972,0,0.238226,0.107709,0.662191,0.192253,0,0.407347,0.345188,0.912578,0.499437,0.028564,0.140557,0.096922,0.153465,0.153719,3.50374,2.236926,1.2003789999999999,2.16455,0.7007480000000001,1.883853,0.248266,0.5732269999999999,0.11464539999999998,0.04781055303842447,7,7.0,7.0,7.0,7.0,8,8.0,8.0,8.0,8.0,1
0.249345,0.167506,0.162681,0.191873,0.200997,0.156855,0.2094,0.160084,0.211263,0.174724,0,0.106277,0.059558,0.091347,0.081081,0,0.270629,0.263207,0.311789,0.29464,0.061229,0.103123,0.100526,0.119916,0.093643,0.972402,0.912326,0.338263,1.140265,0.19448039999999997,0.249345,0.162681,0.478437,0.0956874,0.019273225766331906,7,7.0,7.0,7.0,7.0,8,8.0,8.0,8.0,8.0,1
0.203126,0.18941,0.355859,0.453004,0.48741,0.197728,0.207614,0.378137,0.438352,0.983555,0,0.101165,0.24941,0.324277,0.373335,0,0.295859,0.484586,0.567079,1.09763,0.088245,0.106449,0.128727,0.114075,0.61022,1.688809,2.205386,1.048187,2.445154,0.3377618,0.48741,0.18941,1.0477159999999999,0.20954319999999999,0.20076304483086524,7,7.0,7.0,7.0,7.0,8,8.0,8.0,8.0,6.0,1
1.3650959999999999,0.724905,0.707256,1.001955,0.429424,1.117614,0.695913,0.53678,0.956898,0.445745,0,0.362167,0.37351,0.838685,0.311211,0,1.058651,0.870526,1.120168,0.563958,0.362738,0.333746,0.16327,0.118213,0.134534,4.228636,3.7529500000000002,1.885573,3.613303,0.8457272,1.3650959999999999,0.429424,1.112501,0.22250019999999998,0.1040810814555652,7,7.0,7.0,7.0,0.0,1,1.0,8.0,8.0,7.0,1
2.977777,1.9521929999999998,1.297842,0.307044,0.658456,2.957134,2.200889,1.083555,0.26651,0.664435,0,1.838302,0.935255,0.158744,0.55069,0,2.31478,1.446142,0.41481,0.772201,0.113891,0.362587,0.1483,0.107766,0.113745,7.193312,7.172523,3.482991,4.947933,1.4386624000000001,2.977777,0.307044,0.8462890000000001,0.1692578,0.09771776084909027,0,7.0,7.0,7.0,0.0,7,1.0,8.0,8.0,7.0,1
